Time, CellIndex, CellVscanning, CellVCutoffHigh, CellVmax, CellVmin, CellVCutoffLow, BalanceDelta, BalanceDeltaFromMinMax, HighestPackTemp, ISAcurrent, mtd1_output, ISAwattHours, ISAampSeconds, ISAampSecondsHB, ISAcAh,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1
Secs,nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu
11.5,   13,   3985,   4200,   4012,   3976,   3208,   37,   36,   27,   6962,   1111,   327,   10597,   0,   294
11.6,   14,   3986,   4200,   4012,   3976,   3208,   36,   36,   27,   6993,   1111,   327,   10598,   0,   294
11.7,   15,   3977,   4200,   4012,   3976,   3208,   37,   36,   28,   6977,   1111,   327,   10599,   0,   294
11.8,   16,   3988,   4200,   4012,   3976,   3208,   35,   36,   27,   6986,   1111,   327,   10599,   0,   294
11.9,   17,   3981,   4200,   4012,   3976,   3208,   36,   36,   27,   6987,   1111,   327,   10600,   0,   294
12,   17,   3981,   4200,   4012,   3976,   3208,   36,   36,   27,   6961,   1111,   327,   10601,   0,   294
12.1,   18,   3969,   4200,   4012,   3976,   3208,   36,   36,   27,   6971,   1111,   327,   10601,   0,   294
12.2,   19,   3969,   4200,   4012,   3976,   3208,   36,   36,   27,   6967,   1111,   327,   10602,   0,   294
12.3,   20,   3965,   4200,   4012,   3976,   3208,   37,   36,   27,   6976,   1111,   327,   10603,   0,   294
12.4,   21,   3968,   4200,   4012,   3976,   3208,   36,   36,   27,   6973,   1111,   327,   10603,   0,   294
12.5,   22,   3969,   4200,   4012,   3976,   3208,   37,   36,   28,   6960,   1111,   327,   10604,   0,   294
12.6,   22,   3969,   4200,   4012,   3976,   3208,   37,   36,   28,   6958,   1111,   327,   10605,   0,   294
12.7,   23,   3965,   4200,   4012,   3976,   3208,   36,   36,   27,   6972,   1111,   327,   10605,   0,   294
12.8,   24,   3963,   4200,   4012,   3976,   3208,   36,   36,   28,   6990,   1111,   327,   10606,   0,   294
12.9,   25,   3964,   4200,   4012,   3976,   3207,   36,   36,   27,   6968,   1111,   327,   10607,   0,   294
13,   26,   3970,   4200,   4012,   3976,   3207,   36,   36,   27,   6961,   1111,   327,   10607,   0,   294
13.1,   27,   3957,   4200,   4012,   3976,   3207,   36,   36,   27,   6976,   1111,   328,   10608,   0,   294
13.2,   27,   3957,   4200,   4012,   3976,   3207,   36,   36,   27,   6994,   1111,   328,   10609,   0,   294
13.3,   0,   3965,   4200,   4012,   3976,   3207,   36,   36,   27,   6961,   1111,   328,   10609,   0,   294
13.4,   1,   3973,   4200,   4012,   3976,   3207,   36,   36,   27,   6973,   1111,   328,   10610,   0,   294
13.5,   2,   3979,   4200,   4012,   3976,   3207,   36,   36,   28,   6980,   1111,   328,   10611,   0,   294
13.6,   3,   3973,   4200,   4012,   3976,   3207,   36,   36,   28,   6960,   1111,   328,   10612,   0,   294
13.7,   4,   3978,   4200,   4012,   3976,   3207,   37,   36,   27,   6976,   1111,   328,   10612,   0,   294
13.8,   4,   3978,   4200,   4012,   3976,   3207,   37,   36,   27,   6969,   1111,   328,   10613,   0,   294
13.9,   5,   3975,   4200,   4012,   3976,   3208,   35,   36,   27,   6966,   1111,   328,   10614,   0,   294
14,   6,   3966,   4200,   4012,   3976,   3208,   37,   36,   27,   6967,   1111,   328,   10614,   0,   294
14.1,   7,   3956,   4200,   4012,   3976,   3208,   37,   36,   27,   6990,   1111,   328,   10615,   0,   294
14.2,   8,   3957,   4200,   4012,   3976,   3208,   37,   36,   27,   6972,   1111,   328,   10616,   0,   294
14.3,   9,   3965,   4200,   4012,   3976,   3208,   36,   36,   27,   6981,   1111,   328,   10617,   0,   294
14.4,   9,   3965,   4200,   4012,   3976,   3208,   37,   36,   27,   6974,   1111,   328,   10617,   0,   294
14.5,   10,   3958,   4200,   4012,   3976,   3208,   37,   36,   27,   6991,   1111,   328,   10618,   0,   294
14.6,   11,   3965,   4200,   4012,   3976,   3208,   35,   36,   27,   6958,   1111,   328,   10619,   0,   294
14.7,   12,   3993,   4200,   4012,   3976,   3208,   37,   36,   27,   6986,   1111,   328,   10620,   0,   294
14.8,   13,   3983,   4200,   4012,   3976,   3208,   36,   36,   27,   6968,   1111,   328,   10620,   0,   294
14.9,   14,   3984,   4200,   4012,   3976,   3208,   36,   36,   27,   6961,   1111,   328,   10621,   0,   294
15,   15,   3975,   4200,   4012,   3976,   3208,   36,   36,   27,   6970,   1111,   328,   10622,   0,   294
15.1,   15,   3975,   4200,   4012,   3976,   3208,   36,   36,   27,   7013,   1111,   328,   10622,   0,   294
15.2,   16,   3986,   4200,   4012,   3976,   3208,   35,   36,   27,   7002,   1111,   328,   10623,   0,   294
15.3,   17,   3980,   4200,   4012,   3976,   3208,   36,   36,   27,   6992,   1111,   328,   10624,   0,   294
15.4,   18,   3967,   4200,   4012,   3976,   3208,   36,   36,   27,   6976,   1111,   328,   10624,   0,   294
15.5,   19,   3968,   4200,   4012,   3976,   3208,   36,   36,   27,   6997,   1111,   328,   10625,   0,   294
15.6,   20,   3963,   4200,   4012,   3976,   3208,   36,   36,   27,   6970,   1111,   328,   10626,   0,   294
15.7,   20,   3963,   4200,   4012,   3976,   3208,   36,   36,   27,   6980,   1111,   328,   10627,   0,   294
15.8,   21,   3967,   4200,   4012,   3976,   3208,   36,   36,   28,   7000,   1111,   328,   10627,   0,   294
15.9,   22,   3967,   4200,   4012,   3976,   3207,   36,   36,   28,   6979,   1111,   328,   10628,   0,   295
16,   23,   3963,   4200,   4012,   3976,   3207,   36,   36,   27,   6993,   1111,   328,   10629,   0,   295
16.1,   24,   3962,   4200,   4012,   3976,   3207,   36,   36,   27,   6980,   1111,   328,   10629,   0,   295
16.2,   25,   3962,   4200,   4012,   3976,   3207,   36,   36,   27,   6977,   1111,   328,   10630,   0,   295
16.3,   25,   3962,   4200,   4012,   3976,   3207,   36,   36,   27,   7014,   1111,   328,   10631,   0,   295
16.4,   26,   3968,   4200,   4012,   3976,   3207,   37,   36,   27,   6989,   1111,   328,   10631,   0,   295
16.5,   27,   3956,   4200,   4012,   3976,   3207,   35,   36,   27,   6995,   1111,   328,   10632,   0,   295
16.6,   0,   3963,   4200,   4012,   3976,   3207,   36,   36,   27,   6983,   1111,   328,   10633,   0,   295
16.7,   1,   3972,   4200,   4012,   3976,   3207,   36,   36,   27,   6960,   1111,   328,   10633,   0,   295
16.8,   2,   3978,   4200,   4012,   3976,   3207,   36,   36,   27,   6976,   1111,   328,   10634,   0,   295
16.9,   2,   3978,   4200,   4012,   3976,   3208,   36,   36,   27,   6977,   1111,   328,   10635,   0,   295
