Time, CellIndex, CellVscanning, CellVCutoffHigh, CellVmax, CellVmin, CellVCutoffLow, BalanceDelta, BalanceDeltaFromMinMax, HighestPackTemp, ISAcurrent, mtd1_output, ISAwattHours, ISAcAh,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1
Secs,nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu
21.1,   17,   4080,   4200,   4099,   4089,   3109,   21,   10,   28,   6761,   1139,   111,   98
21.2,   18,   4072,   4200,   4099,   4089,   3109,   21,   10,   28,   6725,   1139,   111,   98
21.3,   19,   4077,   4200,   4099,   4089,   3109,   20,   10,   28,   7185,   1139,   111,   98
21.4,   20,   4075,   4200,   4099,   4089,   3109,   20,   10,   28,   7110,   1139,   111,   98
21.5,   20,   4075,   4200,   4099,   4089,   3109,   20,   10,   28,   7141,   1139,   111,   98
21.6,   21,   4069,   4200,   4099,   4089,   3109,   21,   10,   27,   7140,   1139,   111,   98
21.7,   22,   4075,   4200,   4099,   4089,   3109,   20,   10,   28,   7150,   1139,   111,   98
21.8,   23,   4072,   4200,   4099,   4089,   3109,   20,   10,   28,   7156,   1139,   111,   98
21.9,   24,   4058,   4200,   4099,   4089,   3109,   20,   10,   28,   7115,   1139,   111,   99
22,   25,   4078,   4200,   4099,   4089,   3109,   20,   10,   28,   7146,   1139,   111,   99
22.1,   25,   4078,   4200,   4099,   4089,   3109,   20,   10,   28,   7504,   1139,   111,   99
22.2,   26,   4070,   4200,   4099,   4089,   3109,   20,   10,   28,   7419,   1139,   111,   99
22.3,   27,   4073,   4200,   4099,   4089,   3109,   20,   10,   28,   7472,   1139,   111,   99
22.4,   0,   4071,   4200,   4099,   4089,   3109,   21,   10,   28,   7468,   1139,   111,   99
22.5,   1,   4068,   4200,   4099,   4089,   3109,   20,   10,   28,   7403,   1139,   111,   99
22.6,   1,   4068,   4200,   4099,   4089,   3109,   20,   10,   28,   7478,   1139,   111,   99
22.7,   2,   4073,   4200,   4099,   4089,   3109,   20,   10,   28,   7483,   1139,   111,   99
22.8,   3,   4075,   4200,   4099,   4089,   3109,   20,   10,   28,   7399,   1139,   111,   99
22.9,   4,   4070,   4200,   4099,   4089,   3109,   20,   10,   28,   7485,   1139,   111,   99
23,   5,   4073,   4200,   4099,   4089,   3109,   20,   10,   28,   7501,   1139,   111,   99
23.1,   5,   4073,   4200,   4099,   4089,   3109,   20,   10,   28,   7718,   1139,   111,   99
23.2,   6,   4064,   4200,   4099,   4089,   3109,   21,   10,   28,   7793,   1139,   111,   99
23.3,   7,   4066,   4200,   4099,   4089,   3109,   21,   10,   28,   7798,   1139,   111,   99
23.4,   8,   4070,   4200,   4099,   4089,   3109,   20,   10,   27,   7767,   1139,   111,   99
